book_id,warehouse_id,stock_count,last_updated
55,6,41,2024-08-09 00:00:00
55,8,100,2024-12-28 00:00:00
55,5,27,2024-09-07 00:00:00
55,4,176,2024-11-10 00:00:00
55,1,5,2024-12-22 00:00:00
56,7,171,2024-09-11 00:00:00
56,5,177,2024-10-27 00:00:00
56,1,178,2024-11-10 00:00:00
57,1,112,2024-09-12 00:00:00
58,7,97,2024-11-29 00:00:00
59,1,109,2024-11-26 00:00:00
60,1,154,2024-11-10 00:00:00
60,3,65,2024-08-31 00:00:00
60,7,46,2024-12-22 00:00:00
61,2,93,2024-12-10 00:00:00
61,8,80,2024-10-07 00:00:00
61,1,91,2024-11-04 00:00:00
62,5,115,2024-09-29 00:00:00
62,6,123,2024-05-02 00:00:00
63,6,4,2024-12-18 00:00:00
64,2,156,2024-12-25 00:00:00
64,4,69,2024-08-24 00:00:00
64,1,34,2024-12-27 00:00:00
65,6,6,2024-10-14 00:00:00
65,7,159,2024-12-10 00:00:00
66,8,78,2024-11-26 00:00:00
66,5,80,2024-10-24 00:00:00
67,4,189,2024-12-05 00:00:00
67,8,163,2024-11-15 00:00:00
67,2,192,2024-11-28 00:00:00
67,1,150,2024-08-31 00:00:00
67,6,178,2024-12-14 00:00:00
68,3,123,2024-11-30 00:00:00
68,2,141,2024-09-14 00:00:00
68,6,181,2024-10-25 00:00:00
68,4,11,2024-12-04 00:00:00
69,3,118,2024-10-17 00:00:00
69,4,169,2024-11-17 00:00:00
70,2,100,2024-09-22 00:00:00
70,3,69,2024-07-19 00:00:00
70,1,188,2024-06-22 00:00:00
70,6,20,2024-12-17 00:00:00
70,5,139,2024-12-30 00:00:00
71,5,167,2024-10-13 00:00:00
71,7,8,2024-08-14 00:00:00
71,3,158,2024-12-11 00:00:00
72,7,43,2024-09-11 00:00:00
72,1,178,2024-09-01 00:00:00
72,2,139,2024-12-17 00:00:00
73,8,13,2024-10-08 00:00:00
73,5,66,2024-12-22 00:00:00
73,1,77,2024-12-30 00:00:00
73,3,190,2024-12-20 00:00:00
73,7,171,2024-12-17 00:00:00
74,4,190,2024-08-26 00:00:00
74,3,35,2024-12-11 00:00:00
75,2,6,2024-11-02 00:00:00
75,1,171,2024-11-02 00:00:00
76,6,147,2024-12-31 00:00:00
76,7,74,2024-09-22 00:00:00
77,2,198,2024-11-05 00:00:00
78,2,43,2024-12-08 00:00:00
78,1,186,2024-11-21 00:00:00
78,4,200,2024-12-26 00:00:00
78,7,104,2024-11-29 00:00:00
79,1,69,2024-11-09 00:00:00
79,2,93,2024-08-04 00:00:00
80,7,129,2024-12-14 00:00:00
80,4,18,2024-11-02 00:00:00
80,3,139,2024-12-07 00:00:00
80,8,78,2024-08-23 00:00:00
81,2,132,2024-12-09 00:00:00
81,5,83,2024-12-17 00:00:00
81,1,43,2024-12-30 00:00:00
82,4,79,2024-10-07 00:00:00
82,5,189,2024-11-23 00:00:00
82,3,64,2024-11-02 00:00:00
83,5,85,2024-12-08 00:00:00
83,1,91,2024-12-09 00:00:00
84,2,68,2024-08-14 00:00:00
84,1,181,2024-09-18 00:00:00
84,7,178,2024-11-18 00:00:00
85,3,181,2024-12-19 00:00:00
85,1,133,2024-09-11 00:00:00
86,7,144,2024-11-15 00:00:00
86,6,140,2024-10-14 00:00:00
86,2,74,2024-11-26 00:00:00
86,5,9,2024-10-08 00:00:00
87,4,86,2024-12-13 00:00:00
87,2,19,2024-12-11 00:00:00
87,8,30,2024-10-20 00:00:00
88,1,65,2024-09-30 00:00:00
89,4,113,2024-12-20 00:00:00
89,5,181,2024-11-13 00:00:00
89,2,110,2024-11-05 00:00:00
89,8,151,2024-11-02 00:00:00
90,6,170,2024-12-22 00:00:00
90,2,162,2024-12-01 00:00:00
90,3,50,2024-09-05 00:00:00
90,4,54,2024-12-22 00:00:00
90,7,174,2024-10-29 00:00:00
91,4,103,2024-09-13 00:00:00
91,3,35,2024-12-29 00:00:00
91,2,99,2024-12-11 00:00:00
91,6,155,2024-11-25 00:00:00
92,6,142,2024-09-01 00:00:00
92,8,7,2024-08-25 00:00:00
92,5,144,2024-12-29 00:00:00
92,1,72,2024-10-29 00:00:00
93,7,190,2024-12-22 00:00:00
93,8,100,2024-11-24 00:00:00
94,4,147,2024-11-06 00:00:00
94,6,162,2024-12-16 00:00:00
94,3,75,2024-11-12 00:00:00
95,7,101,2024-07-20 00:00:00
95,6,46,2024-11-16 00:00:00
95,8,158,2024-11-25 00:00:00
96,4,133,2024-07-27 00:00:00
96,7,79,2024-10-11 00:00:00
96,1,114,2024-09-18 00:00:00
96,2,85,2024-12-06 00:00:00
96,8,186,2024-12-30 00:00:00
97,1,48,2024-12-24 00:00:00
97,2,115,2024-12-05 00:00:00
98,8,133,2024-10-27 00:00:00
98,6,136,2024-12-09 00:00:00
98,4,132,2024-12-25 00:00:00
98,5,40,2024-11-09 00:00:00
99,4,75,2024-12-02 00:00:00
99,1,1,2024-09-26 00:00:00
99,7,123,2024-12-06 00:00:00
99,5,82,2024-10-26 00:00:00
100,4,34,2024-12-11 00:00:00
100,3,181,2024-09-05 00:00:00
100,1,132,2024-11-10 00:00:00
101,7,142,2024-12-22 00:00:00
101,5,141,2024-12-17 00:00:00
101,4,67,2024-11-18 00:00:00
101,8,38,2024-10-11 00:00:00
102,8,12,2024-11-15 00:00:00
102,1,54,2024-11-10 00:00:00
102,3,153,2024-10-11 00:00:00
103,6,78,2024-12-31 00:00:00
103,8,102,2024-12-12 00:00:00
104,7,175,2024-10-19 00:00:00
104,8,76,2024-10-30 00:00:00
104,6,18,2024-07-29 00:00:00
104,3,34,2024-08-31 00:00:00
104,5,66,2024-11-12 00:00:00
105,3,174,2024-12-07 00:00:00
105,2,75,2024-10-24 00:00:00
105,8,61,2024-12-27 00:00:00
106,7,76,2024-10-25 00:00:00
106,8,190,2024-08-06 00:00:00
106,3,184,2024-12-10 00:00:00
107,7,22,2024-12-13 00:00:00
107,4,63,2024-11-30 00:00:00
107,1,7,2024-11-27 00:00:00
108,3,148,2024-12-25 00:00:00
108,4,199,2024-12-10 00:00:00
108,5,141,2024-11-24 00:00:00
108,8,197,2024-09-19 00:00:00
108,1,101,2024-09-17 00:00:00
109,2,17,2024-11-13 00:00:00
109,5,56,2024-11-15 00:00:00
109,4,184,2024-03-27 00:00:00
110,5,47,2024-12-27 00:00:00
110,6,83,2024-11-24 00:00:00
110,1,138,2024-11-17 00:00:00
110,2,32,2024-12-11 00:00:00
110,8,73,2024-11-22 00:00:00
111,7,27,2024-12-30 00:00:00
111,5,69,2024-12-18 00:00:00
112,5,42,2024-11-16 00:00:00
112,6,171,2024-12-04 00:00:00
112,1,79,2024-08-13 00:00:00
112,2,32,2024-11-02 00:00:00
113,3,80,2024-11-10 00:00:00
113,6,45,2024-12-28 00:00:00
113,5,74,2024-12-03 00:00:00
114,4,93,2024-10-02 00:00:00
114,1,93,2024-10-22 00:00:00
114,7,84,2024-12-21 00:00:00
114,5,57,2024-09-01 00:00:00
115,6,100,2024-10-10 00:00:00
115,8,148,2024-08-08 00:00:00
115,5,171,2024-12-30 00:00:00
116,3,186,2024-08-29 00:00:00
116,4,149,2024-02-09 00:00:00
116,7,141,2024-10-28 00:00:00
117,2,6,2024-12-30 00:00:00
117,3,58,2024-12-28 00:00:00
117,5,102,2024-10-12 00:00:00
117,7,153,2024-10-30 00:00:00
118,7,72,2024-12-04 00:00:00
118,6,36,2024-12-06 00:00:00
118,8,129,2024-11-18 00:00:00
119,7,94,2024-12-25 00:00:00
120,2,47,2024-12-31 00:00:00
121,8,197,2024-11-05 00:00:00
121,4,39,2024-12-03 00:00:00
121,5,52,2024-10-30 00:00:00
122,1,62,2024-10-20 00:00:00
122,2,172,2024-09-29 00:00:00
122,8,116,2024-08-31 00:00:00
123,5,27,2024-05-17 00:00:00
123,1,41,2024-11-06 00:00:00
123,3,8,2024-10-01 00:00:00
124,8,81,2024-12-30 00:00:00
125,2,27,2024-11-29 00:00:00
125,8,92,2024-12-05 00:00:00
125,1,179,2024-10-18 00:00:00
126,8,177,2024-12-19 00:00:00
126,2,103,2024-11-02 00:00:00
126,1,159,2024-12-22 00:00:00
126,3,151,2024-09-12 00:00:00
127,4,91,2024-12-07 00:00:00
127,3,103,2024-11-08 00:00:00
127,8,128,2024-12-21 00:00:00
128,4,121,2024-10-16 00:00:00
128,2,24,2024-11-12 00:00:00
129,8,44,2024-12-29 00:00:00
130,7,148,2024-12-19 00:00:00
130,2,66,2024-12-30 00:00:00
130,1,67,2024-11-12 00:00:00
131,3,170,2024-12-30 00:00:00
131,2,68,2024-11-26 00:00:00
132,1,149,2024-11-28 00:00:00
133,2,104,2024-06-05 00:00:00
133,8,139,2024-12-21 00:00:00
133,3,171,2024-12-31 00:00:00
134,1,11,2024-12-23 00:00:00
134,3,98,2024-12-10 00:00:00
135,7,151,2024-12-30 00:00:00
135,5,189,2024-11-09 00:00:00
136,7,100,2024-11-30 00:00:00
136,8,73,2024-11-26 00:00:00
136,6,26,2024-12-29 00:00:00
137,6,55,2024-09-06 00:00:00
137,4,39,2024-10-12 00:00:00
137,5,170,2024-12-08 00:00:00
138,4,98,2024-12-07 00:00:00
138,6,102,2024-12-17 00:00:00
138,3,166,2024-08-25 00:00:00
139,8,16,2024-08-03 00:00:00
140,8,7,2024-12-21 00:00:00
140,3,16,2024-11-24 00:00:00
140,1,13,2024-10-26 00:00:00
141,3,156,2024-10-14 00:00:00
141,2,126,2024-12-26 00:00:00
141,8,47,2024-11-23 00:00:00
141,6,17,2024-12-18 00:00:00
142,1,125,2024-12-17 00:00:00
142,6,130,2024-12-15 00:00:00
142,3,107,2024-12-14 00:00:00
142,7,168,2024-10-18 00:00:00
143,6,106,2024-10-15 00:00:00
143,1,147,2024-11-23 00:00:00
143,2,4,2024-10-31 00:00:00
143,3,152,2024-12-26 00:00:00
143,7,86,2024-05-13 00:00:00
144,3,150,2024-12-07 00:00:00
144,5,26,2024-08-20 00:00:00
144,4,93,2024-03-21 00:00:00
144,6,87,2024-11-10 00:00:00
145,2,19,2024-11-30 00:00:00
146,7,59,2024-12-01 00:00:00
146,6,104,2024-11-13 00:00:00
147,8,197,2024-11-20 00:00:00
147,6,192,2024-10-13 00:00:00
147,7,103,2024-11-14 00:00:00
148,8,187,2024-12-10 00:00:00
148,7,50,2024-10-24 00:00:00
149,3,22,2024-12-07 00:00:00
149,6,22,2024-12-15 00:00:00
149,5,158,2024-10-30 00:00:00
149,2,62,2024-12-24 00:00:00
150,5,62,2024-11-16 00:00:00
150,4,120,2024-08-05 00:00:00
150,1,43,2024-12-19 00:00:00
151,4,140,2024-10-01 00:00:00
151,3,13,2024-12-26 00:00:00
151,6,84,2024-11-18 00:00:00
152,4,61,2024-11-21 00:00:00
152,6,126,2024-12-17 00:00:00
152,1,173,2024-12-06 00:00:00
153,7,143,2024-11-01 00:00:00
153,1,27,2024-12-02 00:00:00
153,8,17,2024-07-26 00:00:00
153,6,101,2024-10-05 00:00:00
154,4,74,2024-10-29 00:00:00
154,2,157,2024-12-16 00:00:00
154,8,157,2024-12-14 00:00:00
154,7,85,2024-10-30 00:00:00
155,8,182,2024-12-06 00:00:00
155,2,76,2024-09-07 00:00:00
155,7,28,2024-11-12 00:00:00
156,6,145,2024-10-14 00:00:00
156,5,189,2024-10-28 00:00:00
156,3,102,2024-12-16 00:00:00
157,1,42,2024-12-16 00:00:00
157,6,18,2024-11-26 00:00:00
158,1,76,2024-12-30 00:00:00
158,8,193,2023-10-30 00:00:00
158,3,26,2024-12-28 00:00:00
159,8,127,2024-08-28 00:00:00
159,1,28,2024-11-09 00:00:00
159,6,24,2024-12-15 00:00:00
160,8,39,2024-06-01 00:00:00
161,4,156,2024-11-19 00:00:00
161,2,89,2024-12-24 00:00:00
161,8,160,2024-09-18 00:00:00
162,7,55,2024-10-06 00:00:00
162,4,149,2024-12-24 00:00:00
163,5,165,2024-12-12 00:00:00
163,7,149,2024-12-23 00:00:00
163,1,135,2024-10-16 00:00:00
163,6,149,2024-11-25 00:00:00
163,2,101,2024-12-10 00:00:00
164,1,184,2024-08-15 00:00:00
164,7,108,2024-12-21 00:00:00
165,8,18,2024-12-20 00:00:00
165,1,88,2024-12-05 00:00:00
165,4,162,2024-12-14 00:00:00
165,2,138,2024-12-31 00:00:00
165,7,150,2024-12-04 00:00:00
166,4,91,2024-11-12 00:00:00
166,5,54,2024-12-13 00:00:00
166,2,52,2024-12-27 00:00:00
167,1,145,2024-11-20 00:00:00
167,4,108,2024-12-11 00:00:00
168,6,146,2024-12-12 00:00:00
168,2,134,2024-11-25 00:00:00
168,1,16,2024-12-27 00:00:00
169,6,44,2024-12-15 00:00:00
169,7,11,2024-12-20 00:00:00
169,4,24,2024-12-24 00:00:00
170,1,82,2024-12-10 00:00:00
170,3,69,2024-12-24 00:00:00
170,8,109,2024-06-05 00:00:00
171,4,154,2024-11-06 00:00:00
171,2,122,2024-12-22 00:00:00
172,6,88,2024-12-21 00:00:00
172,4,168,2024-06-19 00:00:00
172,1,73,2024-07-17 00:00:00
173,1,87,2024-05-04 00:00:00
173,3,19,2024-11-26 00:00:00
173,6,143,2024-11-26 00:00:00
173,7,194,2024-09-28 00:00:00
174,2,105,2024-11-14 00:00:00
174,7,95,2024-11-20 00:00:00
174,3,136,2024-12-18 00:00:00
174,1,55,2024-12-13 00:00:00
174,4,124,2024-08-12 00:00:00
175,6,100,2024-06-15 00:00:00
175,7,78,2024-08-18 00:00:00
175,2,130,2024-11-16 00:00:00
176,2,73,2024-12-05 00:00:00
176,6,27,2024-12-10 00:00:00
176,7,45,2024-12-28 00:00:00
176,8,92,2024-10-27 00:00:00
177,6,50,2024-10-31 00:00:00
178,3,57,2024-07-06 00:00:00
178,2,97,2024-09-29 00:00:00
178,6,195,2024-07-15 00:00:00
178,5,151,2024-12-31 00:00:00
179,3,43,2024-12-17 00:00:00
179,7,106,2024-11-04 00:00:00
179,5,28,2024-12-06 00:00:00
180,6,184,2024-09-28 00:00:00
180,7,139,2024-10-03 00:00:00
180,1,9,2024-11-11 00:00:00
180,4,192,2024-12-03 00:00:00
181,7,63,2024-12-18 00:00:00
181,2,13,2024-10-27 00:00:00
181,8,90,2024-10-09 00:00:00
182,3,28,2024-11-13 00:00:00
182,5,63,2024-12-25 00:00:00
182,6,173,2024-11-19 00:00:00
182,2,162,2024-11-28 00:00:00
183,3,92,2024-11-10 00:00:00
183,5,19,2024-11-30 00:00:00
184,2,15,2024-11-21 00:00:00
184,8,199,2024-12-18 00:00:00
184,1,194,2024-12-26 00:00:00
184,6,14,2023-10-23 00:00:00
185,8,76,2024-11-30 00:00:00
185,6,43,2024-11-22 00:00:00
186,3,65,2024-11-12 00:00:00
186,5,24,2024-10-14 00:00:00
186,6,128,2024-11-27 00:00:00
187,8,157,2024-11-15 00:00:00
187,5,108,2024-09-18 00:00:00
188,8,70,2024-11-18 00:00:00
188,6,17,2024-12-18 00:00:00
189,3,22,2024-10-13 00:00:00
190,2,92,2024-12-26 00:00:00
190,7,129,2024-03-31 00:00:00
190,8,161,2024-10-14 00:00:00
190,1,177,2024-12-05 00:00:00
190,6,154,2024-11-29 00:00:00
191,1,193,2024-10-09 00:00:00
191,7,85,2024-10-17 00:00:00
191,2,185,2024-12-14 00:00:00
191,6,138,2024-11-22 00:00:00
192,4,63,2024-12-06 00:00:00
192,8,86,2024-06-18 00:00:00
192,6,0,2024-07-28 00:00:00
193,1,173,2024-10-06 00:00:00
193,3,91,2024-12-19 00:00:00
193,5,44,2024-11-29 00:00:00
193,2,146,2024-09-22 00:00:00
193,8,119,2024-12-27 00:00:00
194,1,41,2024-12-21 00:00:00
194,7,89,2024-12-25 00:00:00
194,2,87,2024-12-14 00:00:00
194,3,188,2024-08-29 00:00:00
194,6,167,2024-12-04 00:00:00
195,4,117,2024-09-29 00:00:00
195,3,24,2024-11-26 00:00:00
195,2,11,2024-03-23 00:00:00
195,6,86,2024-12-29 00:00:00
196,4,18,2024-12-20 00:00:00
196,3,63,2024-12-24 00:00:00
197,5,200,2024-09-18 00:00:00
197,6,65,2024-09-26 00:00:00
197,7,74,2024-07-03 00:00:00
197,3,29,2024-07-05 00:00:00
198,2,7,2024-12-10 00:00:00
198,6,137,2024-12-28 00:00:00
198,8,156,2024-12-01 00:00:00
198,7,180,2024-11-18 00:00:00
198,3,78,2024-12-27 00:00:00
199,2,64,2024-12-13 00:00:00
199,5,23,2024-10-05 00:00:00
200,7,180,2024-09-26 00:00:00
201,7,77,2024-06-15 00:00:00
202,8,95,2024-09-30 00:00:00
202,7,122,2024-12-22 00:00:00
202,5,34,2024-11-26 00:00:00
202,6,69,2024-12-07 00:00:00
202,1,115,2024-09-06 00:00:00
203,4,36,2024-10-25 00:00:00
204,1,172,2024-12-07 00:00:00
204,6,175,2024-12-09 00:00:00
205,3,62,2024-12-27 00:00:00
205,5,147,2024-12-10 00:00:00
205,8,76,2024-12-20 00:00:00
205,6,84,2024-12-04 00:00:00
205,7,2,2024-11-22 00:00:00
206,3,181,2024-11-01 00:00:00
206,5,143,2024-09-03 00:00:00
207,3,70,2024-10-28 00:00:00
207,7,9,2024-09-24 00:00:00
208,5,84,2024-09-24 00:00:00
208,3,43,2024-12-05 00:00:00
208,7,189,2024-12-10 00:00:00
208,2,54,2024-12-31 00:00:00
209,3,166,2024-12-04 00:00:00
209,4,75,2024-10-03 00:00:00
209,6,75,2024-09-21 00:00:00
210,1,56,2024-11-23 00:00:00
210,6,97,2024-10-22 00:00:00
210,7,115,2024-09-11 00:00:00
210,8,76,2024-08-07 00:00:00
211,6,33,2023-10-29 00:00:00
211,1,135,2024-12-06 00:00:00
211,5,19,2024-12-23 00:00:00
212,4,162,2024-09-17 00:00:00
213,5,198,2024-11-10 00:00:00
213,4,139,2024-11-03 00:00:00
213,8,16,2024-10-10 00:00:00
213,6,199,2024-08-20 00:00:00
214,6,66,2024-12-19 00:00:00
214,8,173,2024-08-23 00:00:00
214,1,49,2024-12-23 00:00:00
215,4,171,2024-09-26 00:00:00
216,4,74,2024-09-06 00:00:00
216,6,34,2024-11-09 00:00:00
216,1,44,2024-10-19 00:00:00
217,5,199,2024-08-30 00:00:00
217,6,172,2024-12-26 00:00:00
218,5,13,2024-12-02 00:00:00
219,1,136,2024-12-25 00:00:00
219,4,112,2024-12-23 00:00:00
220,1,59,2024-11-10 00:00:00
220,5,101,2024-12-31 00:00:00
221,6,48,2024-11-20 00:00:00
221,3,169,2024-11-21 00:00:00
222,6,134,2024-12-22 00:00:00
222,5,166,2024-06-29 00:00:00
222,1,175,2024-09-18 00:00:00
222,7,164,2024-11-26 00:00:00
222,2,0,2024-06-05 00:00:00
223,3,48,2024-09-08 00:00:00
223,5,82,2024-05-15 00:00:00
223,6,103,2024-09-02 00:00:00
224,3,96,2024-11-23 00:00:00
224,1,104,2024-12-22 00:00:00
224,4,9,2024-10-22 00:00:00
225,1,25,2024-06-13 00:00:00
226,6,86,2024-12-11 00:00:00
226,5,30,2024-12-24 00:00:00
226,8,85,2024-12-26 00:00:00
227,2,196,2024-12-15 00:00:00
227,3,175,2024-12-08 00:00:00
227,7,72,2024-10-30 00:00:00
228,7,152,2024-11-25 00:00:00
228,3,61,2024-08-20 00:00:00
229,6,41,2024-10-22 00:00:00
229,2,48,2024-05-09 00:00:00
230,4,120,2024-11-02 00:00:00
230,3,159,2024-10-23 00:00:00
230,6,180,2024-12-01 00:00:00
230,8,187,2024-12-12 00:00:00
230,1,50,2024-12-07 00:00:00
231,4,60,2024-12-29 00:00:00
231,8,198,2024-08-20 00:00:00
232,5,124,2024-04-25 00:00:00
232,8,189,2024-12-04 00:00:00
232,2,123,2024-10-10 00:00:00
232,7,190,2024-10-01 00:00:00
232,1,110,2024-12-29 00:00:00
233,2,55,2024-08-16 00:00:00
233,1,155,2024-06-01 00:00:00
233,3,153,2024-12-12 00:00:00
233,4,96,2024-10-17 00:00:00
234,3,128,2024-10-24 00:00:00
234,8,147,2024-11-18 00:00:00
234,2,173,2024-12-26 00:00:00
235,3,188,2024-11-06 00:00:00
235,6,149,2024-11-05 00:00:00
236,4,133,2024-11-10 00:00:00
236,2,98,2024-12-21 00:00:00
236,6,132,2024-12-15 00:00:00
237,8,164,2024-09-27 00:00:00
237,4,18,2024-11-26 00:00:00
237,2,161,2024-12-20 00:00:00
237,7,114,2024-10-18 00:00:00
238,1,54,2024-12-21 00:00:00
238,7,34,2024-12-16 00:00:00
238,2,156,2024-07-16 00:00:00
239,5,87,2024-11-28 00:00:00
239,4,165,2024-12-14 00:00:00
239,1,176,2024-10-22 00:00:00
240,5,86,2024-12-03 00:00:00
240,6,100,2024-11-30 00:00:00
240,4,163,2024-11-21 00:00:00
240,1,184,2024-08-21 00:00:00
241,5,161,2024-08-17 00:00:00
241,4,29,2024-11-28 00:00:00
241,1,46,2024-09-09 00:00:00
241,8,138,2024-12-24 00:00:00
241,7,11,2024-12-29 00:00:00
242,2,117,2024-12-21 00:00:00
242,3,172,2024-12-04 00:00:00
242,4,73,2024-09-13 00:00:00
242,8,195,2024-12-26 00:00:00
243,3,117,2024-11-29 00:00:00
243,2,24,2024-06-29 00:00:00
243,7,120,2024-12-12 00:00:00
243,1,55,2024-12-22 00:00:00
243,8,136,2024-11-28 00:00:00
244,1,130,2024-11-27 00:00:00
244,5,167,2024-10-26 00:00:00
244,8,24,2024-12-30 00:00:00
245,6,107,2024-11-28 00:00:00
245,2,81,2024-12-28 00:00:00
245,4,183,2024-12-13 00:00:00
245,1,160,2024-12-17 00:00:00
246,2,38,2024-07-12 00:00:00
246,7,197,2024-10-28 00:00:00
247,6,181,2024-10-30 00:00:00
247,4,56,2024-11-23 00:00:00
248,3,82,2024-12-08 00:00:00
248,4,62,2024-11-27 00:00:00
