book_id,title,author_id,genre,price,publication_year,page_count,isbn
188,The Silent Silence,1859,thriller,13.36,2009,497,224-8-351-11105-6
189,Empire of Mountains,371,fiction,8.74,1984,175,2568618945920
190,The Frozen Mirror,298,thriller,18.83,1995,841,745-2-651-35515-6
191,Garden of Mountains,455,thriller,36.4,1981,607,449-1-260-31605-2
192,Ocean of Archives,301,thriller,45.96,2007,,181-8-243-15066-6
193,Archive of Bones,601,mystery,19.64,2013,798,7143171588448
194,Hollow Bone,946,thriller,25.9,1999,419,3695911087102
195,Silence of Wolfs,494,thriller,11.85,2011,355,3802855672622
196,River of Bones,1301,thriller,34.82,2011,388,538-4-362-36042-3
197,Winter of Mirrors,353,biography,17.99,1991,672,5824238142076
198,The Silent Winter,946,scifi,33.69,2004,281,4717947074828
199,Ghost of Shadows,1615,children,38.39,2021,529,848-7-678-37056-5
200,The Hidden Machine,1321,thriller,7.69,1994,741,8488343023155
201,The Endless Bone,394,thriller,26.26,2001,431,3657424281523
202,Forgotten Guest,639,fantasy,48.41,1993,829,345-6-625-60939-0
203,Crimson City,1957,thriller,31.87,1988,137,508-9-993-56982-8
204,The Frozen Hunter,702,thriller,28.98,1992,118,9549703149546
205,The Crimson City,1460,children,22.0,2003,502,152-2-374-71379-1
206,The Forgotten Whisper,946,scifi,22.67,1981,492,3015530032333
207,Frozen River,946,thriller,21.74,1983,845,5708106014759
208,Hidden Shadow,946,thriller,43.51,2005,810,6628841492708
209,The Distant Silence,572,biography,46.08,2009,845,367-0-705-26899-8
210,Daughter of Bones,1344,scifi,20.87,2022,440,932-3-338-03500-2
211,Hollow Winter,946,thriller,34.47,1985,716,8975073313491
212,Crimson Hunter,525,children,11.99,1986,576,1805748428943
213,Distant Whisper,946,science,41.9,2001,282,8998518101240
214,City of Silences,946,thriller,42.76,1991,,2415221574616
215,The Fading Winter,451,self-help,14.4,1997,508,649-8-996-99727-7
216,Empire of Silences,946,mystery,37.5,2002,579,1883039419394
217,The Crimson Path,1256,scifi,21.39,2008,843,4341624917423
218,Archive of Dreams,1073,thriller,11.04,2004,519,9456423754297
219,The Distant Silence,1143,thriller,31.96,1996,766,6761977067829
220,Empire of Paths,946,thriller,16.01,2002,370,122-5-131-21496-2
221,The Sudden Spark,77,children,7.19,1996,,1765030699518
222,The Distant Guest,737,thriller,37.08,2011,532,827-2-166-58709-9
223,Machine of Guests,946,poetry,48.76,2010,788,5751915119870
224,River of Gardens,1026,children,32.54,1997,575,260-5-990-94798-4
225,Frozen River,792,thriller,37.46,1987,875,3433760522047
226,The Distant Hunter,946,self-help,42.27,2006,850,794-4-277-16442-0
227,The Fading Ember,340,thriller,8.3,1984,455,2420817509023
228,Hidden Empire,722,thriller,38.11,2012,774,7870242040772
229,The Sudden Empire,1321,fantasy,48.17,1980,324,8558259249344
230,The Golden River,1584,children,31.09,2010,398,9132014940201
231,The Sudden Empire,469,history,19.41,1984,230,501-4-842-26720-7
232,Quiet Bone,946,fiction,46.58,1998,528,8529873000399
233,Path of Embers,1324,thriller,20.39,1982,315,820-1-935-65223-4
234,The Quiet Machine,419,thriller,11.13,2024,167,9488541095167
235,Ocean of Sparks,327,reference,22.73,1982,,7402440884340
236,The Forgotten Ghost,946,science,23.65,1994,338,7470922583583
237,Bone of Guests,758,mystery,49.99,1999,782,473-9-654-07167-8
238,River of Embers,1662,thriller,11.56,2004,603,951-4-956-77126-2
239,The Quiet Kingdom,946,thriller,11.43,1988,281,9171455266552
240,Quiet Ghost,83,thriller,42.77,1987,887,932-0-971-60630-8
241,Quiet Whisper,946,self-help,25.85,2010,92,8572618277558
242,Guest of Mirrors,846,mystery,39.64,1989,155,8282347235594
243,Wolf of Bones,946,travel,22.68,1994,777,4070545333896
244,Ghost of Empires,629,thriller,38.38,2003,,0002971242314
245,The Golden Empire,1381,fiction,38.67,2008,507,7931595597963
246,Pale Guest,389,thriller,7.9,2015,663,8106314712749
247,Buried Kingdom,834,thriller,30.42,2004,435,902-8-767-60996-7
248,The Broken Throne,320,cooking,33.6,2011,859,328-0-248-78821-8
249,Last Shadow,1047,mystery,24.62,2002,,200-5-658-20571-7
250,The Distant Ocean,603,thriller,35.8,1992,172,9031597284251
251,The Silent Machine,298,fantasy,49.58,2009,165,048-5-549-83525-0
252,Pale Throne,1825,thriller,22.78,1988,383,5621408244854
253,Sudden Garden,1004,thriller,22.6,2002,364,007-5-181-41003-8
254,The Distant Whisper,946,self-help,9.76,2006,539,3310449270124
255,Frozen Winter,946,thriller,9.72,2023,433,8793825051729
256,The Endless River,1603,self-help,16.17,1993,560,096-8-589-74910-9
257,Dream of Citys,510,thriller,30.67,1988,,4135577814961
258,The Silent Mountain,300,fantasy,39.08,2023,,921-8-135-09635-4
259,Endless Kingdom,332,reference,9.08,1989,597,256-5-357-52818-2
260,Endless Archive,865,fiction,8.55,2003,417,2397213476550
261,The Pale Bone,1486,thriller,19.48,1995,353,4694667816625
262,The Broken Throne,101,thriller,29.77,1996,177,8589156024801
263,Mirror of Shadows,1681,poetry,24.28,2002,271,725-3-691-18181-1
264,The Hidden Ocean,1589,cooking,35.04,2016,340,9669506746570
265,The Forgotten Ghost,1242,thriller,23.79,2021,671,962-9-139-73896-0
266,Broken Mountain,1431,fiction,7.42,1982,,935-8-720-57272-9
267,Frozen Winter,974,biography,40.98,2017,202,627-8-023-25119-6
268,Buried Whisper,1115,thriller,47.28,2002,515,6053619573888
269,The Buried Dream,1079,cooking,11.57,1991,555,9503157766660
270,Hollow Kingdom,794,reference,26.13,1990,507,276-7-726-35020-0
271,Last River,1944,reference,25.9,2009,718,453-6-064-74514-5
272,The Silent Winter,147,thriller,5.38,2012,764,7250780685396
273,Sudden Archive,946,thriller,31.7,1992,293,575-2-496-53555-5
274,Golden Shadow,1953,mystery,11.2,1997,407,924-3-824-46030-6
275,The Buried City,1660,romance,15.65,1999,846,2374410412206
276,The Quiet Machine,989,fantasy,16.72,1993,447,9652647957306
277,The Quiet Shadow,704,scifi,29.85,1987,595,7827200723813
278,Endless Ember,426,thriller,29.79,2013,535,6374828039522
279,River of Bones,1064,fantasy,20.73,2024,105,3551956468784
280,Crimson Ocean,1623,thriller,29.01,2023,315,567-9-095-76426-6
281,The Distant River,566,mystery,8.28,2020,776,5544183816472
282,The Hidden Heir,909,fantasy,46.07,1998,834,802-8-702-72926-3
283,River of Mirrors,1180,romance,20.01,2021,107,6278300619914
284,Mountain of Mountains,1359,thriller,34.3,1989,624,698-4-987-76381-8
285,Bone of Daughters,985,biography,42.16,2012,423,0702964275237
286,Sudden Daughter,1871,thriller,8.97,1989,238,932-4-171-42271-2
287,Whisper of Embers,1882,thriller,41.98,2010,266,180-7-418-66170-1
288,Hidden Garden,198,romance,38.36,2021,239,463-5-926-77114-6
289,The Broken Heir,946,children,9.17,1995,455,207-3-867-30151-6
290,Forgotten Ember,86,thriller,15.84,1982,413,1184795711781
291,Hollow Daughter,462,reference,9.48,1981,496,054-4-316-64165-5
292,The Hidden Kingdom,1050,fiction,10.0,1996,218,1044467183528
293,The Fading Whisper,648,travel,48.04,1997,412,323-3-804-36694-4
294,Garden of Hunters,115,cooking,19.92,2021,719,5920124790707
295,Silent Silence,87,cooking,16.47,2008,751,4115373002242
296,Silent Silence,26,thriller,16.59,1984,626,165-4-971-58552-7
297,Golden Heir,946,reference,26.83,2012,,405-0-520-88745-6
298,The Frozen Guest,1033,travel,41.48,2017,744,5034314007381
299,Mirror of Embers,946,thriller,27.5,2009,861,8449218775619
300,The Silent Silence,1884,thriller,5.15,2007,442,8560094548145
301,Forgotten Machine,1398,poetry,30.67,2022,755,5043609677244
302,Endless Mirror,1335,biography,42.41,1995,296,8288168618220
303,Golden Spark,141,mystery,5.74,2004,,0235644605746
304,Last River,1879,science,36.38,1984,224,521-0-560-63081-5
305,The Endless Whisper,610,fiction,41.31,2006,726,5137113819983
306,Guest of Dreams,946,thriller,6.43,2020,537,0864135379522
307,Wolf of Mirrors,1030,mystery,10.78,1985,766,7890497877206
308,Broken Dream,1887,cooking,41.29,2013,279,9845676120093
309,Last Whisper,946,fantasy,41.29,1991,847,9885870371296
310,The Fading Wolf,946,mystery,38.66,1983,746,321-5-919-72191-4
311,The Frozen Dream,1763,thriller,25.72,1998,581,2031775450051
312,Hidden Path,946,self-help,39.66,1988,487,8830476687665
313,Mirror of Dreams,122,fiction,10.11,1989,245,2540720064908
314,Crimson Wolf,946,fantasy,7.26,2001,366,1143656113207
315,Last Shadow,71,romance,6.35,2002,674,2671607535341
316,The Silent Silence,946,children,30.96,2001,672,9387893024218
317,Pale Hunter,901,science,39.75,2024,359,5422719609920
318,The Broken Hunter,946,mystery,30.82,2002,721,6530609702912
319,Archive of Hunters,461,fiction,24.63,2004,638,368-4-533-40488-9
320,Mirror of Mountains,453,thriller,34.93,2019,612,8490408430162
321,Bone of Oceans,53,thriller,46.22,1985,851,3762847222758
322,City of Citys,1803,poetry,26.65,2015,550,0761219624946
323,Hidden River,1182,history,6.9,2019,128,4983146267230
324,Ember of Archives,666,thriller,17.24,1981,,8858833714823
325,Golden Silence,1784,fiction,33.42,2020,137,0598466097686
326,The Hidden Mirror,785,science,40.14,2005,110,1073859782685
327,Broken Bone,54,children,26.79,2021,636,1558249893835
328,The Silent Garden,345,thriller,45.35,1995,247,4084718154034
329,Bone of Mirrors,1615,cooking,23.66,1981,527,9430678118016
330,Hollow Empire,946,mystery,28.42,1986,,5217074173166
331,Hidden Empire,163,thriller,32.94,2014,446,6390699367131
332,Last Spark,285,poetry,49.19,1986,592,0448806012427
333,The Buried Machine,1555,cooking,20.66,2014,240,9934368046579
334,The Hollow Spark,312,history,27.71,1998,597,339-6-065-47442-8
335,Hunter of Mountains,1215,romance,29.1,2007,193,221-3-943-08980-1
336,Fading Hunter,1888,scifi,18.02,2004,487,471-6-350-42003-2
337,Buried Whisper,157,thriller,9.99,2013,335,9180758133404
338,The Endless Daughter,1675,thriller,42.65,2020,632,551-3-433-68843-2
339,The Hollow City,538,scifi,36.68,1983,864,3365840264887
340,Silent Spark,567,children,31.07,2012,696,7272591398214
341,Hidden Empire,976,thriller,46.36,2016,231,3413850008211
342,The Buried Wolf,946,poetry,27.58,2022,858,060-3-864-16690-2
343,The Hidden Machine,1658,poetry,12.05,2010,,028-1-083-73419-3
344,Ember of Sparks,404,history,16.89,2015,886,6891886049985
345,Quiet Ghost,946,travel,41.65,2022,670,316-3-563-44939-9
346,Golden Ember,1378,thriller,20.9,1991,,9937033905220
347,Archive of Kingdoms,542,self-help,5.14,1992,693,588-1-328-51203-2
348,The Distant Ghost,870,children,39.65,2010,850,1156030603487
349,The Buried Ghost,437,children,45.69,1984,211,2984704669137
350,The Endless Throne,891,thriller,42.3,2008,101,288-8-768-49472-9
351,Silent Path,273,scifi,24.55,1993,811,280-6-747-68120-1
352,Pale Daughter,1191,thriller,13.72,1989,210,6406129367262
353,Forgotten Hunter,849,science,30.39,2004,226,5029405647013
354,Forgotten Ghost,946,poetry,33.26,1983,233,1937154846043
355,Pale Empire,1133,thriller,21.73,1987,553,643-9-109-53128-0
356,Archive of Ghosts,946,thriller,17.34,1995,521,4540757071000
357,Garden of Wolfs,435,cooking,15.06,1981,882,071-9-511-80253-8
358,Distant Shadow,361,biography,18.17,1998,405,899-2-688-66413-0
359,Hidden Mountain,536,thriller,47.53,1984,239,2126480097618
360,Sudden Ocean,33,thriller,49.72,2017,461,4592934143350
361,Ember of Winters,633,reference,9.45,2020,397,3052088380441
362,Ghost of Mountains,4,thriller,49.77,1987,190,6426584718961
363,The Forgotten Silence,1015,mystery,46.94,2022,797,075-3-448-36621-9
364,The Fading Hunter,512,thriller,35.97,2010,405,7387294732621
365,The Last Heir,194,thriller,45.03,2023,,1051355483023
366,Hollow Shadow,6,thriller,28.62,1985,315,2551973898199
367,The Quiet Garden,946,thriller,48.44,1984,145,7557853756602
368,Endless Shadow,1423,fantasy,18.47,2007,477,171-0-842-46258-2
369,Bone of Mountains,597,fiction,41.69,2007,564,569-2-757-97161-3
370,The Broken Ghost,859,thriller,7.52,1987,819,543-0-733-57699-8
371,River of Dreams,858,self-help,44.21,1989,316,7818368143839
372,Path of Mountains,1644,thriller,17.46,2002,197,611-1-739-87244-4
373,Ember of Embers,1746,children,29.98,2015,220,1398615891581
374,Dream of Daughters,1618,thriller,36.91,2004,856,9397267541547
375,Crimson Empire,758,scifi,45.38,2004,457,150-6-547-82963-7
376,The Frozen Guest,816,cooking,5.2,2013,276,3229109172394
377,The Hidden Wolf,544,poetry,8.46,1986,549,0957027276900
378,The Last Guest,946,thriller,8.8,1995,858,3305161673172
379,The Distant City,1187,thriller,42.73,1986,647,5105394367663
380,Empire of Silences,946,history,25.57,1998,411,9140660068861
381,The Golden Kingdom,1887,reference,45.4,2022,410,9963170851638
382,The Last Spark,92,thriller,20.65,2008,175,068-6-641-81092-6
383,Golden Winter,707,thriller,23.92,1982,109,2527883910143
384,The Frozen Mountain,946,self-help,33.68,2002,764,2197390341313
385,Forgotten Spark,195,fantasy,49.29,2003,264,7113636973709
386,Endless Throne,946,biography,16.2,1984,161,703-4-834-80303-1
387,Heir of Citys,1576,thriller,33.48,2008,229,1423355471306
388,Broken Kingdom,38,mystery,40.95,2017,306,7061341378003
389,Hollow Garden,1679,fiction,49.85,2022,720,1508752576368
390,Endless Garden,575,thriller,24.9,1996,532,3894520109714
391,Distant Guest,998,thriller,27.55,1989,,538-1-417-55044-1
392,Distant City,946,thriller,30.21,2013,,4973789857756
393,The Silent Mountain,795,children,34.45,1990,734,8722966901885
394,Dream of Archives,690,travel,27.38,1992,694,424-5-760-41111-3
395,River of Kingdoms,516,thriller,18.39,1988,785,7548220999836
396,The Endless Kingdom,1515,thriller,24.41,1987,519,657-6-351-37210-0
397,Distant River,946,thriller,32.51,1998,629,2301345010677
398,The Sudden Silence,118,thriller,40.38,2011,446,2573101304110
399,Throne of Machines,1855,science,43.21,1991,,3219863213163
400,The Distant Bone,257,thriller,22.45,1995,737,043-5-298-83626-9
401,The Broken Throne,1062,reference,38.15,1983,841,951-3-304-48418-6
402,The Endless Shadow,1896,children,7.12,2012,418,4541545543316
403,Heir of Mountains,501,thriller,34.42,2004,97,1880580160881
404,The Sudden Spark,1571,thriller,38.06,2013,109,7680372767066
405,Mountain of Mountains,946,thriller,30.87,1982,794,6782303412790
406,Ghost of Citys,275,mystery,39.1,1988,201,404-3-441-63159-6
407,The Forgotten Dream,1397,thriller,20.31,2017,234,4108863503196
408,Crimson City,982,biography,13.28,2023,880,051-4-047-09084-1
409,The Forgotten Spark,946,fiction,47.36,2016,778,870-0-405-10238-3
410,The Quiet Garden,1616,history,48.23,2010,678,9228129832292
411,The Golden Mountain,981,mystery,49.58,2006,369,506-7-056-51145-1
412,Hunter of Whispers,1311,poetry,26.53,1997,740,1362026285776
413,Mountain of Heirs,569,cooking,27.76,1987,198,217-4-568-71665-5
414,The Frozen Daughter,1274,history,25.71,1993,817,296-0-027-53551-6
415,Archive of Ghosts,946,thriller,41.18,2018,100,5543692459615
416,Guest of Rivers,519,romance,8.17,1982,199,5579677897520
417,The Golden Winter,1749,romance,20.39,2010,511,774-8-069-99950-2
418,Archive of Embers,192,romance,32.56,1992,766,843-1-070-22993-5
419,City of Rivers,1356,children,24.6,1990,398,272-5-235-47125-4
420,Spark of Ghosts,112,history,23.37,1998,121,6499338230234
